subject,trial,movement,data_leg,variable,net,positive,negative
FAILTCRT01,FAILTCRT01_SDP03,sdp,nonpivot,lumbar_extension_moment,57.41312088,58.28166217,-0.868541292
FAILTCRT01,FAILTCRT01_SDP03,sdp,nonpivot,lumbar_bending_moment,11.31656726,16.46189543,-5.145328173
FAILTCRT01,FAILTCRT01_SDP03,sdp,nonpivot,lumbar_rotation_moment,1.953744442,7.958849169,-6.005104727
FAILTCRT01,FAILTCRT01_SDP03,sdp,nonpivot,knee_angle_moment,-28.09828372,17.78641511,-45.88469883
FAILTCRT01,FAILTCRT01_SDP03,sdp,nonpivot,arm_flex_moment,5.167881387,5.167881387,0
FAILTCRT01,FAILTCRT01_SDP03,sdp,nonpivot,arm_add_moment,11.46398179,11.46398179,0
FAILTCRT01,FAILTCRT01_SDP03,sdp,nonpivot,arm_rot_moment,-1.388904314,0.124914112,-1.513818426
FAILTCRT01,FAILTCRT01_SDP03,sdp,nonpivot,ankle_angle_moment,-72.15366906,0.556785678,-72.71045474
FAILTCRT01,FAILTCRT01_SDP03,sdp,nonpivot,elbow_flex_moment,6.050820477,6.050820477,0
FAILTCRT01,FAILTCRT01_SDP03,sdp,nonpivot,subtalar_angle_moment,16.85825334,17.18302637,-0.324773027
FAILTCRT01,FAILTCRT01_SDP03,sdp,nonpivot,pro_sup_moment,-0.011080613,0.012616547,-0.02369716
FAILTCRT01,FAILTCRT01_SDP03,sdp,nonpivot,mtp_angle_moment,-0.093808581,0,-0.093808581
FAILTCRT01,FAILTCRT01_SDP03,sdp,nonpivot,wrist_flex_moment,0.459926813,0.459926813,0
FAILTCRT01,FAILTCRT01_SDP03,sdp,nonpivot,wrist_dev_moment,-0.442391267,0,-0.442391267
FAILTCRT01,FAILTCRT01_SDP04,sdp,pivot,hip_flexion_moment,-21.04398043,21.23122177,-42.2752022
FAILTCRT01,FAILTCRT01_SDP04,sdp,pivot,hip_adduction_moment,-49.2808492,2.425606082,-51.70645528
FAILTCRT01,FAILTCRT01_SDP04,sdp,pivot,hip_rotation_moment,-2.179439698,2.382466179,-4.561905877
FAILTCRT01,FAILTCRT01_SDP04,sdp,pivot,lumbar_extension_moment,57.34557893,58.51842498,-1.172846052
FAILTCRT01,FAILTCRT01_SDP04,sdp,pivot,lumbar_bending_moment,13.61251635,18.20342927,-4.590912915
FAILTCRT01,FAILTCRT01_SDP04,sdp,pivot,lumbar_rotation_moment,1.621207757,10.81727004,-9.196062278
FAILTCRT01,FAILTCRT01_SDP04,sdp,pivot,knee_angle_moment,34.11183851,38.52370811,-4.41186959
FAILTCRT01,FAILTCRT01_SDP04,sdp,pivot,arm_flex_moment,3.303698553,3.520135775,-0.216437222
FAILTCRT01,FAILTCRT01_SDP04,sdp,pivot,arm_add_moment,11.15816265,11.15816265,0
FAILTCRT01,FAILTCRT01_SDP04,sdp,pivot,arm_rot_moment,-0.753998805,0.109045494,-0.863044298
FAILTCRT01,FAILTCRT01_SDP04,sdp,pivot,ankle_angle_moment,-55.40661801,1.455729375,-56.86234739
FAILTCRT01,FAILTCRT01_SDP04,sdp,pivot,elbow_flex_moment,5.580897964,5.580897964,0
FAILTCRT01,FAILTCRT01_SDP04,sdp,pivot,subtalar_angle_moment,11.19769676,11.49147328,-0.293776523
FAILTCRT01,FAILTCRT01_SDP04,sdp,pivot,pro_sup_moment,-0.004973206,0.011091015,-0.016064221
FAILTCRT01,FAILTCRT01_SDP04,sdp,pivot,mtp_angle_moment,-0.08957471,0,-0.08957471
FAILTCRT01,FAILTCRT01_SDP04,sdp,pivot,wrist_flex_moment,0.434469663,0.434469663,0
FAILTCRT01,FAILTCRT01_SDP04,sdp,pivot,wrist_dev_moment,-0.392684901,0,-0.392684901
FAILTCRT01,FAILTCRT01_SDP04,sdp,nonpivot,hip_flexion_moment,-27.98409825,10.4591218,-38.44322005
FAILTCRT01,FAILTCRT01_SDP04,sdp,nonpivot,hip_adduction_moment,-61.91518023,6.392391489,-68.30757172
FAILTCRT01,FAILTCRT01_SDP04,sdp,nonpivot,hip_rotation_moment,11.29066217,15.18512926,-3.894467089
FAILTCRT01,FAILTCRT01_SDP04,sdp,nonpivot,lumbar_extension_moment,57.34557893,58.51842498,-1.172846052
FAILTCRT01,FAILTCRT01_SDP04,sdp,nonpivot,lumbar_bending_moment,13.61251635,18.20342927,-4.590912915
FAILTCRT01,FAILTCRT01_SDP04,sdp,nonpivot,lumbar_rotation_moment,1.621207757,10.81727004,-9.196062278
FAILTCRT01,FAILTCRT01_SDP04,sdp,nonpivot,knee_angle_moment,-25.94653299,12.62329397,-38.56982695
FAILTCRT01,FAILTCRT01_SDP04,sdp,nonpivot,arm_flex_moment,4.299828064,4.313487622,-0.013659558
FAILTCRT01,FAILTCRT01_SDP04,sdp,nonpivot,arm_add_moment,10.45505237,10.45505237,0
FAILTCRT01,FAILTCRT01_SDP04,sdp,nonpivot,arm_rot_moment,-0.887104473,0.234180473,-1.121284946
FAILTCRT01,FAILTCRT01_SDP04,sdp,nonpivot,ankle_angle_moment,-55.68847449,0.655694839,-56.34416933
FAILTCRT01,FAILTCRT01_SDP04,sdp,nonpivot,elbow_flex_moment,5.710896057,5.710896057,0
